id,no,name,latitude,longitude,bearing
0,F03337,Erdei bekötőút,47.507803,19.235276,180
1,8262,Hidegkuti Nándor Stadion,47.49069,19.10891,-180
2,F00023,Déli pályaudvar M,47.500001,19.023809,-180
3,F01964,Csurgói út,47.455157,19.033232,-180
4,48505,Szent István Bazilika,47.500687,19.054694,-179
5,64185,Váci Mihály utca (József Attila-telep H),47.33859,19.035687,-179
6,F00003,Zsolt utca,47.49054,19.030395,-179
7,F00017,Királyhágó utca,47.496088,19.023479,-179
8,F00018,Királyhágó utca,47.495669,19.023612,-179
9,F00976,Eötvös tér,47.497944,19.047022,-179
10,F01277,Ciprus utca,47.492855,19.10876,-179
11,F01329,Hős utca,47.495706,19.109078,-179
12,F01962,Bornemissza tér,47.458278,19.033324,-179
13,F01984,Budafoki út / Dombóvári út,47.468595,19.052979,-179
14,F02757,Örs vezér tere M+H,47.504881,19.136419,-179
15,F03454,Rétsár utca,47.485457,19.243291,-179
16,F04254,Szarka utca,47.408128,19.090668,-179
17,43333,Szent Orbán tér,47.498503,19.008136,-178
18,64184,Jókai utca,47.341072,19.035806,-178
19,98538,Raktárbázis,47.464025,18.900557,-178
20,F00024,Déli pályaudvar M,47.500848,19.024021,-178
21,F00455,Zemplén Győző utca,47.595419,19.045317,-178
22,F00868,Béla utca,47.580321,19.081462,-178
23,F00943,Arany János utca M,47.502881,19.054734,-178
24,F01917,Őrmezei út,47.454785,19.018579,-178
25,F02213,Puskás Tivadar utca,47.46038,19.033388,-178
26,F04179,József Attila utca,47.424198,19.08391,-178
27,F04195,Görgey Artúr tér,47.424044,19.071927,-178
28,F04314,Csepel Kossuth Lajos utca,47.434658,19.070606,-178
29,F04643,Árpád utca,47.48009,19.343101,-178
30,9576,Rév utca,47.584794,19.081689,-177
31,64317,Bánki Donát utca,47.359457,19.047263,-177
32,F00492,Czetz János köz,47.578998,19.048961,-177
33,F00697,Fóti út,47.582375,19.081555,-177
34,F00737,Járműtelep utca,47.581898,19.116665,-177
35,F00822,Angyalföld kocsiszín,47.553015,19.091687,-177
36,F00941,Báthory utca / Bajcsy-Zsilinszky út,47.506101,19.054854,-177
37,F01028,Nyugati pályaudvar M,47.510769,19.056301,-177
38,F01470,Lobogó utca,47.462029,19.114915,-177
39,F01972,Vegyész utca,47.442548,19.045261,-177
40,F04186,Kolozsvári utca,47.426094,19.078171,-177
41,F04267,Karácsony Sándor utca H,47.426186,19.067104,-177
42,F04278,Karácsony Sándor utca,47.425916,19.069927,-177
43,F04296,Deák tér,47.427013,19.07218,-177
44,F04318,Szent Imre tér H,47.429802,19.067397,-177
45,F04323,Szent Imre tér,47.431222,19.070327,-177
46,F04327,Csepel Szent Imre tér,47.430781,19.070512,-177
47,9575,Ungvári utca,47.587313,19.08189,-176
48,44638,Görögkatolikus templom,47.424034,19.077997,-176
49,62950,Bercsényi utca,47.585689,19.051181,-176
50,F00101,Várkert Bazár,47.493114,19.043161,-176
51,F00453,Hősök tere,47.598063,19.045569,-176
52,F00574,Óbuda Bogdáni út,47.550541,19.042066,-176
53,F00659,Mátyás király út,47.585068,19.064953,-176
54,F00700,Tímár utca,47.572266,19.080764,-176
55,F00862,Tél utca / Pozsonyi utca,47.556902,19.088488,-176
56,F00870,Tungsram,47.576205,19.081112,-176
57,F01203,Rákóczi tér M,47.492662,19.070936,-176
58,F01959,Bikás park M,47.464205,19.033561,-176
59,F04191,Széchenyi István utca,47.424018,19.069754,-176
60,F04213,Szebeni utca,47.420057,19.083561,-176
61,F04332,Csepel Szent Imre tér,47.430772,19.070976,-176
62,8067,Szent Imre tér,47.430889,19.0703,-175
63,8593,Móricz Zsigmond körtér M,47.476836,19.047188,-175
64,110870,Gödöllő H,47.591508,19.357892,-175
65,F00019,Nagyenyed utca,47.498029,19.023858,-175
66,F00059,Batthyány tér M+H,47.505885,19.038023,-175
67,F00657,Sinkovits Imre utca,47.589969,19.065513,-175
68,F00664,Nánási út,47.570219,19.061599,-175
69,F01198,Harminckettesek tere,47.489991,19.070563,-175
70,F01201,Rákóczi tér M,47.492383,19.071016,-175
71,F01980,Galvani utca,47.455407,19.051598,-175
72,F02234,Kelenföldi Erőmű,47.464485,19.052793,-175
73,F02236,Hengermalom út,47.459233,19.052095,-175
74,F03166,Nyírpalota út,47.547923,19.14021,-175
75,F03924,Corvin körút,47.459674,19.126397,-175
76,F04182,Károli Gáspár utca,47.429324,19.072367,-175
77,7999,Budatétény vasútállomás (Campona),47.405702,19.014155,-174
78,61222,Kelenföld vasútállomás M,47.464364,19.018786,-174
79,69093,Bem József tér,47.511776,19.039296,-174
80,98535,Budaörs Gábor Dénes körút,47.470912,18.901412,-174
81,F00296,Lóczy Lajos utca,47.519037,19.009634,-174
82,F00751,Iglói utca,47.573661,19.102987,-174
83,F00969,Országház látogatóközpont,47.508853,19.046584,-174
84,F01197,Harminckettesek tere,47.489559,19.070589,-174
85,F02021,Albertfalva utca,47.447422,19.037504,-174
86,F02025,Fonyód utca,47.443483,19.036709,-174
87,F02031,Budafok kocsiszín,47.441414,19.036378,-174
88,F02033,Tétényi út 30.,47.466328,19.033866,-174
89,F03158,Vásárcsarnok,47.545153,19.139873,-174
90,8692,Felsőcsatári köz,47.458756,19.177096,-173
91,F01549,Árpád utca,47.463657,19.177904,-173
92,F02020,Albertfalva utca,47.44762,19.037371,-173
93,F02027,Fonyód utca,47.443267,19.036829,-173
94,F02030,Budafok kocsiszín,47.441324,19.036498,-173
95,F02601,Göncz Árpád városközpont M,47.533622,19.066849,-173
96,8793,Regényes utca,47.429436,19.020658,-172
97,8955,Gombosszeg köz,47.413107,19.118352,-172
98,9429,Keserűvíztelep (Bobpálya),47.454806,19.007542,-172
99,62726,Régi vám,47.445631,19.005613,-172
100,F00115,Szanatórium utca (Vadaspark),47.520539,18.938771,-172
101,F00136,Kolosy tér,47.527687,19.037474,-172
102,F00690,Magnólia utca,47.564732,19.030742,-172
103,F01874,Ezüstfa utca,47.479824,19.195969,-172
104,11321,Búza utca,47.551863,19.039634,-171
105,64316,Bányató út,47.36686,19.048032,-171
106,F00035,Fazekas utca,47.507989,19.034133,-171
107,F00138,Kolosy tér,47.526913,19.038204,-171
108,F00577,Bogdáni út,47.548409,19.043102,-171
109,F00661,Szent János utca,47.57879,19.063728,-171
110,F00671,Csillaghegyi út / Bojtár utca,47.560838,19.02984,-171
111,F00677,Szamos utca,47.582001,19.064487,-171
112,F01185,Üllői út,47.487176,19.068213,-171
113,F01649,Szent László tér,47.484998,19.131569,-171
114,F03330,Cinkota Lassú utca,47.520786,19.227037,-171
115,F03564,Orgoványi utca,47.452885,19.229036,-171
116,F03634,Varjú utca,47.434083,19.182904,-171
117,F03684,Wlassics Gyula utca,47.438151,19.183979,-171
118,9706,XVII. utca,47.491598,19.259995,-170
119,44115,Pöttyös utca M,47.468484,19.116055,-170
120,F00246,Zsigmond tér,47.524053,19.037421,-170
121,F00548,Áldomás utca,47.562026,19.035513,-170
122,F00583,Raktár utca,47.544713,19.042212,-170
123,F00662,Nimród utca,47.575822,19.06269,-170
124,F00744,Óceán-árok utca,47.577716,19.115915,-170
125,F00906,Székpatak utca,47.596181,19.121067,-170
126,F01411,Helyi kikötő út,47.463167,19.072701,-170
127,F02152,Budafoki út / Karinthy Frigyes út,47.476872,19.053383,-170
128,F02995,Rákospalota Csömöri-patak,47.590073,19.122428,-170
129,F03446,Hősök tere,47.48917,19.259374,-170
130,44557,Újpest Árpád út hajóállomás,47.562796,19.078314,-169
131,99633,Kelenföld vasútállomás M,47.463988,19.02311,-169
132,F00242,Komjádi Béla utca,47.520338,19.036612,-169
133,F01194,Corvin-negyed M,47.486186,19.070057,-169
134,F01986,Budafoki út / Szerémi sor,47.474361,19.052621,-169
135,F02015,Andor utca,47.455482,19.039558,-169
136,F02306,Kiss János altábornagy utca,47.492273,19.016461,-169
137,F03459,Rákosliget vasútállomás,47.4865,19.2587,-169
138,F03686,Dobozi utca,47.435953,19.183412,-169
139,8098,Szabina út,47.436409,19.013419,-168
140,8544,Szépvölgyi út H,47.527615,19.040037,-168
141,8684,Albertfalva kitérő,47.452693,19.038524,-168
142,38671,Kőbánya-Kispest M,47.462344,19.148344,-168
143,66455,Hauszmann Alajos utca / Szerémi út,47.466536,19.04957,-168
144,66457,Hengermalom út / Szerémi út,47.462066,19.048336,-168
145,F00498,Hunyadi utca,47.584799,19.05594,-168
146,F00607,Kiscelli utca,47.539244,19.040407,-168
147,F00795,Szent István tér (Újpesti piac),47.562815,19.090594,-168
148,F00806,Újpest-központ M,47.559825,19.089407,-168
149,F00815,Újpest-központ M (Munkásotthon utca),47.559114,19.08914,-168
150,F02044,Karolina út,47.471473,19.033466,-168
151,F02619,Lehel tér M,47.516167,19.059621,-168
152,F03720,Szarvas csárda tér,47.441016,19.184804,-168
153,8127,Hír utca,47.432914,19.011403,-167
154,8486,Csonka János tér,47.47007,19.044795,-167
155,56219,Újbuda-központ,47.47286,19.045954,-167
156,56221,Móricz Zsigmond körtér,47.476629,19.047227,-167
157,F00144,Margitsziget / Margit híd,47.515779,19.043743,-167
158,F00516,Kunigunda útja,47.560362,19.035009,-167
159,F00704,Károlyi István utca,47.565566,19.079192,-167
160,F00798,Újpest-központ M,47.560643,19.089833,-167
161,F00877,Deák Ferenc utca / Rózsa utca,47.563247,19.099588,-167
162,F00931,Szent István körút,47.511893,19.050513,-167
163,F00991,Markó utca,47.508817,19.049518,-167
164,F01603,Kozma utca,47.486753,19.179234,-167
165,F01648,Szent László tér,47.485277,19.131424,-167
166,F01813,Meténg utca,47.484442,19.178459,-167
167,F01997,Újbuda-központ M,47.474467,19.046478,-167
168,F02008,Etele út / Fehérvári út,47.461715,19.041758,-167
169,F02010,Etele út / Fehérvári út,47.462639,19.042274,-167
170,F02240,Kalotaszeg utca,47.459178,19.041003,-167
171,F02280,Tamási Áron utca,47.493752,19.002473,-167
172,F02437,Tamási Áron utca / Thomán István utca,47.496979,18.998077,-167
173,F02614,Lehel tér,47.517595,19.060285,-167
174,8409,Ürömhegyi lejtő,47.577663,19.032065,-166
175,8411,Aranyhegyi lejtő,47.572512,19.030128,-166
176,8740,Újbuda-központ M,47.474683,19.046385,-166
177,44129,Napfény utca,47.458582,19.11445,-166
178,71659,Nyugati pályaudvar M,47.509726,19.05492,-166
179,F00440,Szőlőkert utca,47.554966,19.040643,-166
180,F00507,Záhony utca,47.560974,19.04714,-166
181,F00512,Kaszásdűlő utca,47.557565,19.041626,-166
182,F00612,Flórián tér,47.541987,19.04119,-166
183,F00691,Madridi utca,47.546546,19.097473,-166
184,F00702,Zsilip utca,47.567904,19.079991,-166
185,F00827,Bőröndös utca,47.58521,19.117197,-166
186,F00833,Árpád üzletház,47.561062,19.098868,-166
187,F00902,Bőrfestő utca,47.586961,19.117655,-166
188,F00910,Újpest-központ M,47.561488,19.089913,-166
189,F01884,Idősek Otthona,47.437886,18.979177,-166
190,F02002,Hauszmann Alajos utca,47.467813,19.043972,-166
191,F02004,Hauszmann Alajos utca,47.467345,19.043933,-166
192,F02013,Andor utca,47.456129,19.039889,-166
193,F02145,Szent Gellért tér - Műegyetem M,47.482393,19.052569,-166
194,F02506,Parkmozi köz,47.522623,19.045096,-166
195,F04297,Csepeli híd,47.460577,19.071904,-166
196,9155,Atlétikai stadion,47.57218,19.11415,-165
197,9515,Rákospalota-Újpest vasútállomás,47.566389,19.111644,-165
198,49186,Kalotaszeg utca,47.459214,19.040857,-165
199,103389,Balatoni út / Háros utca,47.431783,19.004926,-165
200,F00361,Kossuth Lajos utca,47.552039,18.964107,-165
201,F00509,Kaszásdűlő H,47.556567,19.045533,-165
202,F00602,Galagonya utca,47.530133,19.039386,-165
203,F00824,Bőröndös utca,47.58504,19.116838,-165
204,F00905,Bőrfestő utca,47.587422,19.118064,-165
205,F01195,Corvin-negyed M,47.485385,19.06962,-165
